genotype	origin	trait_name	value	fpca_source	trait
m37w	france	resid_longlength_ti	13.1590106028353	NA	mean
m37w	mexico	resid_longlength_ti	6.16918631405868	NA	mean
mo17	combined	resid_longlength_ti	-3.49404650607753	NA	mean
mo17	france	resid_longlength_ti	-5.02354848723934	NA	mean
mo17	mexico	resid_longlength_ti	-1.96454452491573	NA	mean
mor_17	combined	resid_longlength_ti	-6.88286705882971	NA	mean
mor_17	france	resid_longlength_ti	-5.92377000824329	NA	mean
mor_17	mexico	resid_longlength_ti	-7.84196410941613	NA	mean
nc338	combined	resid_longlength_ti	-11.6037649628062	NA	mean
nc338	france	resid_longlength_ti	-13.2763561452982	NA	mean
nc338	mexico	resid_longlength_ti	-9.93117378031416	NA	mean
nc358	combined	resid_longlength_ti	-15.6810662209312	NA	mean
nc358	france	resid_longlength_ti	-14.8717306073746	NA	mean
nc358	mexico	resid_longlength_ti	-16.4904018344878	NA	mean
nilasq4g31i04	combined	resid_longlength_ti	-1.6613766672367	NA	mean
nilasq4g31i04	france	resid_longlength_ti	-3.16220809822923	NA	mean
nilasq4g31i04	mexico	resid_longlength_ti	-0.16054523624417	NA	mean
nilasq4g31i06	combined	resid_longlength_ti	-1.98896194772463	NA	mean
nilasq4g31i06	france	resid_longlength_ti	-4.46983651738087	NA	mean
nilasq4g31i06	mexico	resid_longlength_ti	0.491912621931606	NA	mean
nilasq4g41i07	combined	resid_longlength_ti	0.535404446987668	NA	mean
nilasq4g41i07	france	resid_longlength_ti	0.61895787192871	NA	mean
nilasq4g41i07	mexico	resid_longlength_ti	0.451851022046626	NA	mean
nilasq4g71i03	combined	resid_longlength_ti	-3.75936592548448	NA	mean
nilasq4g71i03	france	resid_longlength_ti	-6.29730214913851	NA	mean
nilasq4g71i03	mexico	resid_longlength_ti	-1.22142970183044	NA	mean
oax_70_ssd	combined	resid_longlength_ti	1.99645232326408	NA	mean
oax_70_ssd	france	resid_longlength_ti	1.99645232326408	NA	mean
oaxagp1_ssd01	combined	resid_longlength_ti	5.03894023182001	NA	mean
oaxagp1_ssd01	france	resid_longlength_ti	7.15521804464487	NA	mean
oaxagp1_ssd01	mexico	resid_longlength_ti	2.92266241899515	NA	mean
oh43	combined	resid_longlength_ti	2.34121393763115	NA	mean
oh43	france	resid_longlength_ti	0.371138952553028	NA	mean
oh43	mexico	resid_longlength_ti	4.31128892270926	NA	mean
pdz687_hd105	combined	resid_longlength_ti	-15.0299818532505	NA	mean
pdz687_hd105	france	resid_longlength_ti	-16.5847230484977	NA	mean
pdz687_hd105	mexico	resid_longlength_ti	-13.4752406580034	NA	mean
pdz689_hd201	combined	resid_longlength_ti	-16.2965352070229	NA	mean
pdz689_hd201	france	resid_longlength_ti	-16.7421868851245	NA	mean
pdz689_hd201	mexico	resid_longlength_ti	-15.8508835289213	NA	mean
ph207	combined	resid_longlength_ti	-1.09772233383054	NA	mean
ph207	france	resid_longlength_ti	-0.569604543794876	NA	mean
ph207	mexico	resid_longlength_ti	-1.6258401238662	NA	mean
sc_malawi	combined	resid_longlength_ti	4.85000050921263	NA	mean
sc_malawi	france	resid_longlength_ti	0.565582735710792	NA	mean
sc_malawi	mexico	resid_longlength_ti	9.13441828271447	NA	mean
tams_125	combined	resid_longlength_ti	2.44302195531656	NA	mean
tams_125	france	resid_longlength_ti	2.94219664519756	NA	mean
tams_125	mexico	resid_longlength_ti	1.94384726543557	NA	mean
tx601	combined	resid_longlength_ti	-5.23784333512179	NA	mean
tx601	france	resid_longlength_ti	-6.10641724982423	NA	mean
tx601	mexico	resid_longlength_ti	-4.36926942041935	NA	mean
tzi8	combined	resid_longlength_ti	-5.8070463059821	NA	mean
tzi8	france	resid_longlength_ti	-9.89632867616691	NA	mean
tzi8	mexico	resid_longlength_ti	-1.71776393579728	NA	mean
tzi9	combined	resid_longlength_ti	6.90342900702687	NA	mean
tzi9	france	resid_longlength_ti	9.38104056173468	NA	mean
tzi9	mexico	resid_longlength_ti	4.42581745231905	NA	mean
vl1018816	combined	resid_longlength_ti	-2.86939852371292	NA	mean
vl1018816	france	resid_longlength_ti	-0.526681603276262	NA	mean
vl1018816	mexico	resid_longlength_ti	-5.21211544414958	NA	mean
vl1253	combined	resid_longlength_ti	-1.34649706088557	NA	mean
vl1253	france	resid_longlength_ti	-4.59712483010762	NA	mean
vl1253	mexico	resid_longlength_ti	1.90413070833649	NA	mean
