dis.Date,rep,row,line,treatment,genotype,pot,visible.leaves,ligulated.leaves,SAM_nscore,ratio
12/03/2024,14,7,28,nightbreak,B73,1768,12.5,8,8,5.092307692
11/03/2024,14,8,28,control,B73,1828,12.5,7,8,6.821678322
11/03/2024,13,9,26,nightbreak,Tzi9,1886,11.2,6,6,3.699115044
12/03/2024,14,2,28,control,Tzi9,1468,11.5,6,9,8.282810885
12/03/2024,13,6,25,control,Tzi9,1705,12.2,7,9,7.818006182
15/03/2024,15,1,30,nightbreak,CML258,1614,10.5,8,1,1.736842105
13/03/2024,16,1,32,nightbreak,CML373,1616,10.2,7,6,3.366141732
14/03/2024,16,6,32,control,Tzi8,1712,12,7,7,5.634408602
13/03/2024,15,10,30,control,CML277,1854,10.5,6,8,8.240963855
14/03/2024,15,4,30,control,CML341,1590,12.2,7,9,9.193881769
14/03/2024,15,6,29,control,Tzi8,1709,11.5,7,8,5.953020134
12/03/2024,15,8,30,control,CML373,1830,11.2,7,7,6.466666667
13/03/2024,15,9,30,nightbreak,CML373,1890,10.5,7,5,3.666666667
14/03/2024,16,2,31,control,CML341,1471,13.2,7,9,9.297051329
12/03/2024,16,10,31,control,CML373,1855,11,7,6,3.469026549
13/03/2024,16,9,31,nightbreak,CML277,1891,9.5,6,5,3.816993464
15/03/2024,15,2,29,control,CML258,1469,11.2,7,2,1.393442623
15/03/2024,15,2,30,control,LH123Ht,1470,11.5,7,10,16.3807815
13/03/2024,16,3,31,nightbreak,CML258,1531,12.5,8,3,1.654761905
15/03/2024,16,3,32,nightbreak,Tzi8,1532,12.2,7,6,3.887640449
15/03/2024,16,4,31,control,LH123Ht,1591,12.5,9,10,19.5967358
15/03/2024,15,1,29,nightbreak,2369,1613,12.5,8,9,6.41391106
15/03/2024,16,1,31,nightbreak,Tzi9,1615,12.2,7,8,7.690789474
14/03/2024,15,5,29,nightbreak,Tzi8,1649,12.2,7,5,2.675555556
14/03/2024,15,6,30,control,2369,1710,12.5,8,10,8.21016562
15/03/2024,15,7,29,nightbreak,LH123Ht,1769,11.5,7,9,9.45473574
13/03/2024,15,7,30,nightbreak,CML277,1770,10.5,6,6,4.64957265
13/03/2024,16,7,31,nightbreak,CML341,1771,11.5,7,8,5.868852459
14/03/2024,16,7,32,nightbreak,2369,1772,12.5,8,8,5.353932584
14/03/2024,15,8,29,control,BA90,1829,15.5,9,10,13.3227889
12/03/2024,16,8,31,control,CML277,1831,11.2,6,9,10.71782763
13/03/2024,16,8,32,control,CML258,1832,11.5,7,3,1.706666667
15/03/2024,16,10,32,control,BA90,1856,14.5,9,10,15.83291699
15/03/2024,15,9,29,nightbreak,B73,1889,12.5,8,8,6.666666667
15/03/2024,15,9,29,nightbreak,B73,1889,12.5,8,8,5.526548673
14/03/2024,16,9,32,nightbreak,LH123Ht,1892,11.2,7,9,10.91856061
15/03/2024,16,4,32,control,2369,1592,12.2,8,10,7.397058824
13/03/2024,15,5,30,nightbreak,CML341,1650,11.8,7,7,6.24
14/03/2024,16,5,32,nightbreak,BA90,1652,15.8,9,10,12.82170825
15/03/2024,16,6,31,control,B73,1711,14,9,8,6.572847682
14/03/2024,15,3,30,nightbreak,Tzi9,1530,12.2,7,8,4.647540984
15/03/2024,16,5,31,nightbreak,B73,1651,13.5,8,8,5.990909091
15/03/2024,16,2,32,control,Tzi9,1472,12.5,7,9,6.802716469
14/03/2024,15,3,29,nightbreak,BA90,1529,15.2,9,10,11.0806829
15/03/2024,15,4,29,control,Tzi9,1589,12.2,7,9,8.99258229
15/03/2024,15,10,29,control,B73,1853,14.5,9,9,12.01510989
